cat_id|slug|name|url|child_count|related_categories
c334|Leather|Leather|https://www.parfumo.com/Fragrance_Notes/Leather|50|c25;c335;c539;c580
c336|leaves|Leaves|https://www.parfumo.com/Fragrance_Notes/leaves|243|c224;c266;c284;c285;c494;c566
c337|Lemon|Lemon|https://www.parfumo.com/Fragrance_Notes/Lemon|124|c141;c143
c345|Lily|Lily|https://www.parfumo.com/Fragrance_Notes/Lily|69|c103;c231
c346|Lily_of_the_valley|Lily-of-the-valley|https://www.parfumo.com/Fragrance_Notes/Lily_of_the_valley|21|c231;c660
c347|Lime|Lime|https://www.parfumo.com/Fragrance_Notes/Lime|58|c100;c141;c348
c359|Lotus|Lotus|https://www.parfumo.com/Fragrance_Notes/Lotus|49|c231
c371|Mandarin|Mandarin|https://www.parfumo.com/Fragrance_Notes/Mandarin|123|c141;c143;c150;c548;c603
c389|may-rose|May rose|https://www.parfumo.com/Fragrance_Notes/may-rose|11|c532;c533
c394|Melon|Melon|https://www.parfumo.com/Fragrance_Notes/Melon|40|c239
c397|Mimosa|Mimosa|https://www.parfumo.com/Fragrance_Notes/Mimosa|27|c231
c408|Mossy_notes|Mossy notes|https://www.parfumo.com/Fragrance_Notes/Mossy_notes|72|c343;c407;c430;c626
c414|Musk|Musk|https://www.parfumo.com/Fragrance_Notes/Musk|120|c19;c202;c234;c25;c559
c419|n-a||https://www.parfumo.com/Fragrance_Notes/n-a|2|c1;c126;c15;c156;c194;c231;c250;c261;c383;c494;c538;c543;c570;c58;c612;c648;c658;c666;c67;c686;c692
c422|nectar|Nectar|https://www.parfumo.com/Fragrance_Notes/nectar|70|c231;c233;c240;c289;c314
c424|Neroli|Neroli|https://www.parfumo.com/Fragrance_Notes/Neroli|36|c141;c231;c70;c71
c429|Oak|Oak|https://www.parfumo.com/Fragrance_Notes/Oak|58|c494;c669
c430|Oakmoss|Oakmoss|https://www.parfumo.com/Fragrance_Notes/Oakmoss|40|c407;c408;c626
c435|olfactory-qualities|Olfactory qualities|https://www.parfumo.com/Fragrance_Notes/olfactory-qualities|51|c426
c440|Opoponax|Opoponax|https://www.parfumo.com/Fragrance_Notes/Opoponax|18|c300;c524
c441|Orange|Orange|https://www.parfumo.com/Fragrance_Notes/Orange|129|c141;c442
c443|Orchid|Orchid|https://www.parfumo.com/Fragrance_Notes/Orchid|105|c231;c637
c445|Oriental_notes|Oriental notes|https://www.parfumo.com/Fragrance_Notes/Oriental_notes|268|c300;c417;c464;c6;c623;c636;c64
c446|Osmanthus|Osmanthus|https://www.parfumo.com/Fragrance_Notes/Osmanthus|33|c231;c240
c464|Patchouli|Patchouli|https://www.parfumo.com/Fragrance_Notes/Patchouli|62|c214;c445
c466|Peach|Peach|https://www.parfumo.com/Fragrance_Notes/Peach|86|c239
c474|Peony|Peony|https://www.parfumo.com/Fragrance_Notes/Peony|25|c231
c479|Petitgrain|Petitgrain|https://www.parfumo.com/Fragrance_Notes/Petitgrain|29|c141;c70
c496|Plum|Plum|https://www.parfumo.com/Fragrance_Notes/Plum|70|c239;c401;c78
c686|poisonous-plant|Poisonous plant|https://www.parfumo.com/Fragrance_Notes/poisonous-plant|91|c266;c419;c494
c503|Powdery_notes|Powdery notes|https://www.parfumo.com/Fragrance_Notes/Powdery_notes|78|c303
c504|Praline|Praliné|https://www.parfumo.com/Fragrance_Notes/Praline|19|c134;c261;c428;c592;c620
c518|Red_fruits|Red fruits|https://www.parfumo.com/Fragrance_Notes/Red_fruits|20|c239;c516;c578;c66
c524|Resinous_notes|Resinous notes|https://www.parfumo.com/Fragrance_Notes/Resinous_notes|210|c211;c218;c243;c300;c313;c329;c385;c417;c43;c44;c440;c45;c494;c525;c577;c59;c605;c64;c653
c530|Robinia|Robinia|https://www.parfumo.com/Fragrance_Notes/Robinia|6|c231
c532|Rosa_centifolia|Rosa centifolia|https://www.parfumo.com/Fragrance_Notes/Rosa_centifolia|28|c389;c533
c533|Rose|Rose|https://www.parfumo.com/Fragrance_Notes/Rose|426|c196;c207;c231;c244;c389;c452;c532;c534;c608;c631;c662;c95
c536|Rosewood|Rosewood|https://www.parfumo.com/Fragrance_Notes/Rosewood|19|c669
c540|Saffron|Saffron|https://www.parfumo.com/Fragrance_Notes/Saffron|45|c566;c567
c546|Sandalwood|Sandalwood|https://www.parfumo.com/Fragrance_Notes/Sandalwood|97|c300;c669
c561|Smoky_notes|Smoky notes|https://www.parfumo.com/Fragrance_Notes/Smoky_notes|214|c300;c323;c330
c567|Spicy_notes|Spicy notes|https://www.parfumo.com/Fragrance_Notes/Spicy_notes|343|c110;c111;c12;c120;c133;c139;c151;c169;c184;c188;c222;c223;c251;c26;c284;c285;c315;c332;c416;c427;c458;c475;c53;c540;c550;c552;c555;c566;c573;c632;c72
c580|Suede|Suede|https://www.parfumo.com/Fragrance_Notes/Suede|8|c334
c581|Sugar|Sugar|https://www.parfumo.com/Fragrance_Notes/Sugar|76|c175;c261
c592|sweets|Sweets|https://www.parfumo.com/Fragrance_Notes/sweets|132|c109;c134;c261;c272;c356;c381;c504;c584;c620
c623|Tonka_bean|Tonka bean|https://www.parfumo.com/Fragrance_Notes/Tonka_bean|46|c183;c445
c628|Tuberose|Tuberose|https://www.parfumo.com/Fragrance_Notes/Tuberose|34|c231;c660
c636|Vanilla|Vanilla|https://www.parfumo.com/Fragrance_Notes/Vanilla|154|c445;c598;c637;c85
c642|Vetiver|Vetiver|https://www.parfumo.com/Fragrance_Notes/Vetiver|72|c265;c266;c669
c644|Violet|Violet|https://www.parfumo.com/Fragrance_Notes/Violet|53|c231;c5;c645
c660|White_flowers|White flowers|https://www.parfumo.com/Fragrance_Notes/White_flowers|157|c231;c245;c308;c346;c442;c617;c628;c676
c668|woods|Woods|https://www.parfumo.com/Fragrance_Notes/woods|294|c215;c366;c384;c494;c522;c6;c669;c98
c669|Woody_notes|Woody notes|https://www.parfumo.com/Fragrance_Notes/Woody_notes|484|c10;c116;c119;c130;c166;c191;c212;c215;c219;c242;c287;c288;c305;c320;c352;c36;c366;c376;c377;c38;c384;c409;c411;c429;c433;c449;c450;c451;c457;c459;c494;c50;c501;c536;c546;c56;c609;c610;c615;c630;c642;c646;c654;c665;c668;c68;c98
c676|Ylang_ylang|Ylang-ylang|https://www.parfumo.com/Fragrance_Notes/Ylang_ylang|33|c231;c660
