n_id|slug|name|url|image_url|total_perfumes|common_position|first_year|last_year|categories|summary_text|n_id_aliases_p|n_id_primary_name_p
3140|Cedarwood|Cedarwood|https://www.parfumo.com/Fragrance_Note/Cedarwood|https://media.parfumo.com/notes_png/58/58_e9b965c0c7b7efc501676986f5ee5507de92fb56_1200.png|19148|base|1768|2026|c119;c668;c669|Parfumo knows 19148 perfumes which contain the fragrance note Cedarwood . It often occurs in the base note of a perfume. The fragrance note appeared first in the year 1768 and last in 2026 .||
3381|Chinese_magnolia|Chinese magnolia|https://www.parfumo.com/Fragrance_Note/Chinese_magnolia|https://media.parfumo.com/notes_png/54/54_ce15011b176991acc30eec5bbde76a8d3c0752ac_1200.png|51|throughout the entire fragrance|2004|2026|c365|Parfumo knows 51 perfumes which contain the fragrance note Chinese magnolia . It often occurs throughout the entire fragrance of the perfume of a perfume. The fragrance note appeared first in the year 2004 and last in 2026 .||
3158|Cinnamon|Cinnamon|https://www.parfumo.com/Fragrance_Note/Cinnamon|https://media.parfumo.com/notes_png/30/30_f70ab2e7b86ea3671e8088aeb933462918bc58b8_1200.png|9675|heart|1808|2026|c139;c567|Parfumo knows 9675 perfumes which contain the fragrance note Cinnamon . It often occurs in in the heart note of a perfume. The fragrance note appeared first in the year 1808 and last in 2026 .||
3173|Cistus|Cistus|https://www.parfumo.com/Fragrance_Note/Cistus|https://media.parfumo.com/notes_png/68/68_a948cb255e44040541f58ae15e5891a106923d6d_1200.png|1789|base|1929|2026|c44;c140|Parfumo knows 1789 perfumes which contain the fragrance note Cistus . It often occurs in the base note of a perfume. The fragrance note appeared first in the year 1929 and last in 2026 .||
16122|comorian-ylang-ylang|Comorian ylang-ylang|https://www.parfumo.com/Fragrance_Note/comorian-ylang-ylang|https://media.parfumo.com/notes_png/44/44_a90a7567c36ef3a18ae3755af852596e98c8a5fe_1200.png|159|heart|1977|2026|c676|Parfumo knows 159 perfumes which contain the fragrance note Comorian ylang-ylang . It often occurs in in the heart note of a perfume. The fragrance note appeared first in the year 1977 and last in 2026 .||
1443|Coriander|Coriander|https://www.parfumo.com/Fragrance_Note/Coriander|https://media.parfumo.com/notes_png/87/87_7e10bbe6f70958e076611458958abab7d9cb4d42_1200.png|4397|top|1822|2026|c169;c567|Parfumo knows 4397 perfumes which contain the fragrance note Coriander . It often occurs in the top note of a perfume. The fragrance note appeared first in the year 1822 and last in 2026 .||
1457|Cumin|Cumin|https://www.parfumo.com/Fragrance_Note/Cumin|https://media.parfumo.com/notes_png/0e/0e_85d8c68d1028b10b551cadde7dee0ae696f0d75b_1200.png|1458|top|1912|2026|c184;c567|Parfumo knows 1458 perfumes which contain the fragrance note Cumin . It often occurs in the top note of a perfume. The fragrance note appeared first in the year 1912 and last in 2026 .||
812|Frangipani|Frangipani|https://www.parfumo.com/Fragrance_Note/Frangipani|https://media.parfumo.com/notes_png/d7/d7_a8356e4b66d4f915fb034426fc66d61bbc81b03c_1200.png|1887|heart|1981|2026|c231;c233;c235|Parfumo knows 1887 perfumes which contain the fragrance note Frangipani . It often occurs in in the heart note of a perfume. The fragrance note appeared first in the year 1981 and last in 2026 .||
3032|Frankincense|Frankincense|https://www.parfumo.com/Fragrance_Note/Frankincense|https://media.parfumo.com/notes_png/90/90_87bd8850f13417f9218ff7061e6ec8bc5a141da0_1200.png|13589|throughout the entire fragrance|1859|2026|c300;c445;c561|Parfumo knows 13589 perfumes which contain the fragrance note Frankincense . It often occurs throughout the entire fragrance of the perfume of a perfume. The fragrance note appeared first in the year 1859 and last in 2026 .||
816|Freesia|Freesia|https://www.parfumo.com/Fragrance_Note/Freesia|https://media.parfumo.com/notes_png/86/86_fbcf1a6abe62625f534391fb838c8eafb02b10c8_1200.png|6379|heart|1880|2026|c231;c233;c236|Parfumo knows 6379 perfumes which contain the fragrance note Freesia . It often occurs in in the heart note of a perfume. The fragrance note appeared first in the year 1880 and last in 2026 .||
14513|french-lavender|French lavender|https://www.parfumo.com/Fragrance_Note/french-lavender|https://media.parfumo.com/notes_png/36/36_af525c9de3ee0c8fbf8a7c92b18b44691256f323_1200.png|135|throughout the entire fragrance|1961|2026|c231;c284;c333|Parfumo knows 135 perfumes which contain the fragrance note French lavender . It often occurs throughout the entire fragrance of the perfume of a perfume. The fragrance note appeared first in the year 1961 and last in 2026 .|3488:French lavender|French lavender
6902|French_clary_sage|French clary sage|https://www.parfumo.com/Fragrance_Note/French_clary_sage|https://media.parfumo.com/notes_png/d1/d1_3bb5a0976000a31335cd8fe78f81215b600d57d9_1200.png|68|heart|1944|2026|c146|Parfumo knows 68 perfumes which contain the fragrance note French clary sage . It often occurs in in the heart note of a perfume. The fragrance note appeared first in the year 1944 and last in 2026 .||
3515|Fruity_notes|Fruity notes|https://www.parfumo.com/Fragrance_Note/Fruity_notes|https://media.parfumo.com/notes_png/22/22_4e1995a61c67f08199d39fdea28587e8ac2f8f3f_1200.png|2767|top|1925|2026|c239;c240;c435|Parfumo knows 2767 perfumes which contain the fragrance note Fruity notes . It often occurs in the top note of a perfume. The fragrance note appeared first in the year 1925 and last in 2026 .||
850|Galbanum|Galbanum|https://www.parfumo.com/Fragrance_Note/Galbanum|https://media.parfumo.com/notes_png/47/47_c40e51bebca779d0afd68faacd13d7a409fe0383_1200.png|3151|top|1895|2026|c243;c524;c525|Parfumo knows 3151 perfumes which contain the fragrance note Galbanum . It often occurs in the top note of a perfume. The fragrance note appeared first in the year 1895 and last in 2026 .||
856|Gardenia|Gardenia|https://www.parfumo.com/Fragrance_Note/Gardenia|https://media.parfumo.com/notes_png/be/be_8697adfbd301134ed098801fc2c9776fc58116c0_1200.png|4668|heart|1879|2026|c231;c233;c245;c660|Parfumo knows 4668 perfumes which contain the fragrance note Gardenia . It often occurs in in the heart note of a perfume. The fragrance note appeared first in the year 1879 and last in 2026 .||
4760|Geranium|Geranium|https://www.parfumo.com/Fragrance_Note/Geranium|https://media.parfumo.com/notes_png/0b/0b_52ac66c87ceef9014846e5d3c56ef248d76e45c4_1200.png|9705|heart|1768|2026|c231;c248|Parfumo knows 9705 perfumes which contain the fragrance note Geranium . It often occurs in in the heart note of a perfume. The fragrance note appeared first in the year 1768 and last in 2026 .||
3674|Green_notes|Green notes|https://www.parfumo.com/Fragrance_Note/Green_notes|https://media.parfumo.com/notes_png/ab/ab_e2790d2baaf15bde923cba4db3681fb28b805d59_1200.png|4681|top|1765|2026|c266;c435|Parfumo knows 4681 perfumes which contain the fragrance note Green notes . It often occurs in the top note of a perfume. The fragrance note appeared first in the year 1765 and last in 2026 .||
3053|Hawthorn|Hawthorn|https://www.parfumo.com/Fragrance_Note/Hawthorn|https://media.parfumo.com/notes_png/f8/f8_fcff105e71332b2cc974ee6eaff4bd54459ae9f0_1200.png|503|heart|1896|2026|c231;c273|Parfumo knows 503 perfumes which contain the fragrance note Hawthorn . It often occurs in in the heart note of a perfume. The fragrance note appeared first in the year 1896 and last in 2026 .||
1138|Honey|Honey|https://www.parfumo.com/Fragrance_Note/Honey|https://media.parfumo.com/notes_png/34/34_887fe835b68c9c9de6b14038b79bcb4780045716_1200.png|5268|throughout the entire fragrance|1895|2026|c261;c289;c422|Parfumo knows 5268 perfumes which contain the fragrance note Honey . It often occurs throughout the entire fragrance of the perfume of a perfume. The fragrance note appeared first in the year 1895 and last in 2026 .||
1150|Honeycomb|Honeycomb|https://www.parfumo.com/Fragrance_Note/Honeycomb|https://media.parfumo.com/notes_png/e3/e3_50227c8a090af47df12e85c333f760579e012d1a_1200.png|154|throughout the entire fragrance|1996|2026|c289|Parfumo knows 154 perfumes which contain the fragrance note Honeycomb . It often occurs throughout the entire fragrance of the perfume of a perfume. The fragrance note appeared first in the year 1996 and last in 2026 .||
1217|Jasmine|Jasmine|https://www.parfumo.com/Fragrance_Note/Jasmine|https://media.parfumo.com/notes_png/c6/c6_14db80bf2760dc8f65770553588401c383e109de_1200.png|38067|heart|1709|2026|c231;c233;c308;c660|Parfumo knows 38067 perfumes which contain the fragrance note Jasmine . It often occurs in in the heart note of a perfume. The fragrance note appeared first in the year 1709 and last in 2026 .||
1226|Jasmine_sambac|Jasmine sambac|https://www.parfumo.com/Fragrance_Note/Jasmine_sambac|https://media.parfumo.com/notes_png/c6/c6_14db80bf2760dc8f65770553588401c383e109de_1200.png|3743|heart|1922|2026|c231;c233;c308;c312;c660|Parfumo knows 3743 perfumes which contain the fragrance note Jasmine sambac . It often occurs in in the heart note of a perfume. The fragrance note appeared first in the year 1922 and last in 2026 .||
2957|Juniper_berry|Juniper berry|https://www.parfumo.com/Fragrance_Note/Juniper_berry|https://media.parfumo.com/notes_png/22/22_30f004af8c5e505c0cd01e0c88031f30025fbdce_1200.png|2102|top|1882|2026|c315|Parfumo knows 2102 perfumes which contain the fragrance note Juniper berry . It often occurs in the top note of a perfume. The fragrance note appeared first in the year 1882 and last in 2026 .||
1525|Lavender|Lavender|https://www.parfumo.com/Fragrance_Note/Lavender|https://media.parfumo.com/notes_png/36/36_af525c9de3ee0c8fbf8a7c92b18b44691256f323_1200.png|15194|heart|1768|2026|c231;c233;c284;c333|Parfumo knows 15194 perfumes which contain the fragrance note Lavender . It often occurs in in the heart note of a perfume. The fragrance note appeared first in the year 1768 and last in 2026 .||
1537|Leather|Leather|https://www.parfumo.com/Fragrance_Note/Leather|https://media.parfumo.com/notes_png/fd/fd_87ea553e2ba893720a4d63223fb9bbecc007156b_1200.png|11425|base|1768|2026|c25;c334|Parfumo knows 11425 perfumes which contain the fragrance note Leather . It often occurs in the base note of a perfume. The fragrance note appeared first in the year 1768 and last in 2026 .||
3177|Lemon|Lemon|https://www.parfumo.com/Fragrance_Note/Lemon|https://media.parfumo.com/notes_png/f4/f4_1f498670bf986b8632d3d0402a8ad6c656c5ae39_1200.png|18342|top|1709|2026|c141;c143;c337|Parfumo knows 18342 perfumes which contain the fragrance note Lemon . It often occurs in the top note of a perfume. The fragrance note appeared first in the year 1709 and last in 2026 .||
1676|Lily_of_the_valley|Lily of the valley|https://www.parfumo.com/Fragrance_Note/Lily_of_the_valley|https://media.parfumo.com/notes_png/8a/8a_59e27854eb884d5c8728b2f2ce78da19561d50a5_1200.png|12315|heart|1765|2026|c231;c346;c686;c660|Parfumo knows 12315 perfumes which contain the fragrance note Lily of the valley . It often occurs in in the heart note of a perfume. The fragrance note appeared first in the year 1765 and last in 2026 .||
1702|Mandarin|Mandarin orange|https://www.parfumo.com/Fragrance_Note/Mandarin|https://media.parfumo.com/notes_png/ca/ca_05c8a4302ec057bb97f4de507399893701920bf6_1200.png|17249|top|1859|2026|c141;c143;c371|Parfumo knows 17249 perfumes which contain the fragrance note Mandarin orange . It often occurs in the top note of a perfume. The fragrance note appeared first in the year 1859 and last in 2026 .||
